movie	title	title_eng	year	grade
10408	신의 아그네스	Agnes Of God , 1985	1987	15세 관람가
10409	작은 신의 아이들	Children Of A Lesser God , 1986	1987	15세 관람가
10410	드라이빙 미스 데이지	Driving Miss Daisy , 1989	1990	전체 관람가
10411	레비아탄	Leviathan , 1989	1989	15세 관람가
10412	레이디호크	Ladyhawke , 1985	1986	15세 관람가
10413	로빈슨 가족	The Adventures Of The Wilderness Family , 1975		G
10414	맥아더	MacArthur , 1977	1977	15세 관람가
10415	쇼처럼 즐거운 인생은 없다	There's No Business Like Show Business , 1954	1956	15세 관람가
10416	스테잉 얼라이브	Staying Alive , 1983		15세 관람가
10417	변강쇠	Byun Kang-swoi , 1986	1986	청소년 관람불가
10418	뽕	Mulberry , 1985	1986	청소년 관람불가
10419	산딸기	Mountain Strawberries , 1982	1982	청소년 관람불가
10420	장군의 아들	The General's Son , 1990	1990	15세 관람가
10421	씨받이	The Surrogate Womb , 1986	1987	청소년 관람불가
10422	어우동	Eoh Wu-dong , 1985	1985	청소년 관람불가
10423	바보 선언	Declaration Of Idiot , 1983	1984	청소년 관람불가
10424	삼손과 데릴라	Samson And Delilah , 1949	1955	12세 관람가
10425	성 리수일뎐	Lee Su-il Story , 1987	1987	청소년 관람불가
10426	수업료	授業料 , 1940	1940	NR
10427	야성의 엘자	Born Free , 1966		PG
10428	애정과 욕망	Carnal Knowledge , 1971		청소년 관람불가
10429	엔젤 하트	Angel Heart , 1987	1989	청소년 관람불가
10430	역마차	Stagecoach , 1939	1952	
10431	영광의 탈출	Exodus , 1960	1966	15세 관람가
10432	아빠는 출장 중	Otac Na Sluzbenom Putu , When Father Was Away On Business , 1985	1988	NR
10433	해바라기	I Girasoli , Sunflower , 1970	1982	15세 관람가
10434	영혼은 그대 곁에	Always , 1989		15세 관람가
10435	예스 마담 - 황가사저	皇家師姐: Yes, Madam , 1985	2014	청소년 관람불가
10436	알 카포네	Al Capone , 1959		NR
10437	5인의 탐정가	Murder By Death , 1976		PG
10438	영혼의 목걸이	Shocker , 1989	1989	15세 관람가
10439	닌자 거북이	Teenage Mutant Ninja Turtles , 1990	2014	전체 관람가
10440	취권	醉拳 , Drunken Master , 1978	1979	12세 관람가
10441	성룡의 미라클	奇蹟: Mr Canton And Lady Rose , Miracle , 1989	2014	NR
10442	새벽의 7인	Operation Daybreak , 1975	1979	PG
10443	실베스타 스텔론의 탈옥	Lock Up , 1989	1989	12세 관람가
10444	매시	MASH , 1970	1971	전체 관람가
10445	등대여명	等待黎明: Hong Kong 1941 , 1984	1990	NR
10446	마유미	Mayumi: Virgin Terrorist , 1990	1990	청소년 관람불가
10447	알파벳 도시	Alphabet City , 1984		NR
10448	오즈의 마법사	The Wizard Of Oz , 1939	2012	전체 관람가
10449	산 파블로	The Sand Pebbles , 1966		NR
10450	총알탄 사나이	The Naked Gun: From The Files Of Police Squad! , 1988	1990	청소년 관람불가
10451	총알탄 사나이 2	The Naked Gun 2 1/2: The Smell Of Fear , 1991	1991	15세 관람가
10452	열차 안의 낯선 자들	Strangers On A Train , 1951	1959	12세 관람가
10453	졸업	The Graduate , 1967	2020	15세 관람가
10454	사랑을 위하여	Dying Young , 1991	1991	15세 관람가
10455	상처 뿐인 영광	Somebody Up There Likes Me , 1956		NR
10456	에밀 졸라의 생애	The Life of Emile Zola , 1937		
10457	여정	Summertime , 1955		NR
10458	실버 스트릭	Silver Streak , 1976	1977	15세 관람가
10459	오메가 맨	The Omega Man , 1971		PG
10460	영광의 계단	Unconquered , 1989		
10461	오클라호마 유전	Oklahoma Crude , 1973		PG
10462	올리버	OLIVER , 1968	1971	15세 관람가
10463	시머론	Cimarron , 1931		NR
10464	완다라는 이름의 물고기	A Fish Called Wanda , 1988		청소년 관람불가
10465	야수의 최후	Que La Bete Meure , The Beast Must Die , 1969	2003	NR
10466	우연한 방문객	The Accidental Tourist , 1988		15세 관람가
10467	연산군	Prince Yeonsan , 1961	1962	
10468	연산군	燕山君: Prince Yeon-san , 1987	1987	NR
10469	옛날 옛적 서부에서	C'Era Una Volta Il West , Once Upon A Time In The West , 1968	1970	15세 관람가
10470	전함 포템킨	The Battleship Potemkin , Bronenosets Potemkin , 1925	1994	15세 관람가
10471	제3의 사나이	The Third Man , 1949	1954	15세 관람가
10472	은행털이와 아빠와 나	Les Fugitifs , 1986	1990	NR
10473	장미의 이름	Le Nom De La Rose , The Name Of The Rose , 1986	1989	청소년 관람불가
10474	알파빌	Alphaville, Une Etrange Aventure De Lemmy Caution , Alphaville, A Strange Adventure Of Lemmy Caution , 1965		NR
10475				
10476	잠복근무	Stakeout , 1987		청소년 관람불가
10477	아나스타샤	Anastasia: The Mystery Of Anna , 1986		15세 관람가
10478	젊은이의 양지	A Place In The Sun , 1951	1953	15세 관람가
10479	붉은 수수밭	紅高梁 , Red Sorghum , 1988	1989	NR
10480	전망 좋은 방	A Room With A View , 1985	1989	15세 관람가
10481	열혈천사	紅粉兵團 , Golden Queen's Commando , 1982	1991	NR
10482	차타레 부인의 사랑	Lady Chatterley's Lover , 1981	2019	청소년 관람불가
10483	복수무정 2	Out For Justice , 1991		R
10484	과거로부터	Out Of The Past , 1947		NR
10485	나의 계곡은 푸르렀다	How Green Was My Valley , 1941		12세 관람가
10486	매춘	賣春 , Prostitution , 1988	1988	청소년 관람불가
10487	미궁 속의 알리바이	Her Alibi , 1989		PG
10488	미드나잇 런	Midnight Run , 1988	1990	청소년 관람불가
10489	미져리	Misery , 1990	1991	청소년 관람불가
10490	세븐 싸인	The Seventh Sign , 1989	1989	12세 관람가
10491	우먼 인 레드	The Woman In Red , 1984	1989	15세 관람가
10492	모두가 대통령의 사람들	All The President's Men , 1976		PG
10493	왕과 나	The King And I , 1956	1957	전체 관람가
10494	여학생	L'Etudiante , The Student , 1988	1989	NR
10495	영광의 길	Paths Of Glory , 1957		NR
10496	18 어게인	18 Again! , 1988	1989	NR
10497	멋진 인생	It's A Wonderful Life , 1946		15세 관람가
10498	야외 소동	The Great Outdoors , 1988		PG
10499	저 하늘에 태양이	The Other Side Of The Mountain , 1975	1979	PG
10500	도성대형 2 - 지존무적	睹城大亨II 之 至尊無敵: Casino Tycoon II , 1992		NR
10501	지옥의 묵시록	Apocalypse Now , 1979	2018	청소년 관람불가
10502	비 오는 날 수채화	A Sketch Of A Rainy Day , 1989	1990	15세 관람가
10503	콘돌	Three Days Of The Condor , 1975	1989	청소년 관람불가
10504	양들의 침묵	The Silence Of The Lambs , 1991	1991	청소년 관람불가
10505	은행풍운	人民英雄: People's Hero , 1987		NR
10506	알파 인시던트	The Alpha Incident , 1978		PG
10507	젊은 날의 처칠	Young Winston , 1972		PG
10508	성춘향	1961	1961	12세 관람가
10509	성춘향	成春香: Sung Chun-Hyang , 1987	1987	12세 관람가
10510	성춘향전	成春香傳 , 1976	1976	전체 관람가
10511	우리 집의 낙원	You Can't Take It With You , 1938	1946	전체 관람가
10512	벤지	Benji , 1974	1976	G
10513	알피	Alfie , 1966		NR
10514	태양은 가득히	Plein Soleil , Purple Noon , 1960	2004	12세 관람가
10515	취권 3	醉拳 III: Drunken Master III , 1994		15세 관람가
10516	개인 교수	Private Lessons , 1981		청소년 관람불가
10517	비열한 거리	Mean Streets , 1973		청소년 관람불가
10518	비황	秘煌 , 1992	1992	청소년 관람불가
10519	붉은 10월	The Hunt For Red October , 1990	1990	PG
10520	작은 사랑의 멜로디	Melody , 1971	1994	전체 관람가
10521	블랙 레인	Black Rain , 1989	1990	청소년 관람불가
10522	빙점 81	氷点 '81: 前後完結篇 , Freezing Point , 1981	1981	12세 관람가
10523	브레이크아웃	Breakout , 1975	1977	PG
10524	1941	1979	1980	PG
10525	시에라 마드레의 보석	The Treasure Of The Sierra Madre , 1948		12세 관람가
10526	블러드 심플	Blood Simple , 1984	2019	15세 관람가
10527	사랑을 합시다	Let's Make Love , 1960	1961	12세 관람가
10528	왕과 새	Le Roi Et L'Oiseau , The King And The Mockingbird , 1980		NR
10529	불타는 태양	Tequila Sunrise , 1988		청소년 관람불가
10530	비정	My Foolish Heart , 1949		NR
10531	크레이지 걸	One Crazy Summer , 1986		PG
10532	불가사리	Tremors , 1990	1990	PG-13
10533	니콜라스와 알렉산드라	Nicholas And Alexandra , 1971		PG
10534	골치 아픈 여자	Ruthless People , 1986		청소년 관람불가
10535	드라큐라	Dracula , 1979	1986	15세 관람가
10536	드라큐라	Dracula , 1973		
10537	용적심	龍的心 , Heart Of Dragon , 1985	2015	15세 관람가
10538	마이 튜터	My Tutor , 1983	1983	청소년 관람불가
10539	베스트 오브 더 베스트	Best Of The Best , 1989	1990	PG-13
10540	모스크바는 눈물을 믿지 않는다	Moskva slezam ne verit , Moscow Does Not Believe In Tears , 1980	1988	15세 관람가
10541	미스터 마마	Mr. Mom , 1983		PG
10542	새티스팩션	Satisfaction , 1988		15세 관람가
10543	프로페셔널	Le Professionnel , 1981		NR
10544	들판을 달리는 산토끼	La Course Du Lievre A Travers Les Champs , And Hope To Die , 1972		NR
10545	지존무상	至尊無上: Casino Raiders , 1989	1989	NR
10546	아비정전	阿飛正傳 , Days Of Being Wild , 1990	2017	15세 관람가
10547	조찬 클럽	The Breakfast Club , 1985		15세 관람가
10548	제트	Z , 1969	1989	PG
10549	쟈니 핸섬	Johnny Handsome , 1989	1990	청소년 관람불가
10550	복수의 총탄	Instant Justice , 1987		청소년 관람불가
10551	라스트 콘서트	Dedicato A Una Stella , The Last Concert, Stella , 1976	1977	NR
10552	가장 위험한 해	The Year Of Living Dangerously , 1983		12세 관람가
10553	나 홀로 사막에	Dirkie , Lost In The Desert , 1969		NR
10554	정글 속의 고릴라	Gorillas In The Mist: The Story Of Dian Fossey , 1988		PG-13
10555	오발탄	誤發彈 , An Aimless Bullet , 1961	1961	15세 관람가
10556	필사의 추적	Blow Out , 1981		청소년 관람불가
10557	왕이여 안녕	Farewell To The King , 1989		PG-13
10558	영환도사	靈幻道士	1987	NR
10559	나의 길	Waga Michi , 1974		NR
10560	노 머시	No Mercy , 1986	1987	청소년 관람불가
10561	대부 3	Mario Puzo's The Godfather Part III , 1990	1991	청소년 관람불가
10562	마지막 지하철	Le Dernier Metro , The Last Metro , 1980		PG
10563	웨스트 사이드 스토리	West Side Story , 1961	1999	전체 관람가
10564	비정성시	悲情城市: A City Of Sadness , 1989	1990	12세 관람가
10565	사랑의 미로	Eu Sei Que Vou Te Amar , 1986		NR
10566	이유없는 반항	Rebel Without A Cause , 1955	1999	전체 관람가
10567	야행	Night Voyage , 1977	1977	15세 관람가
10568	베를린 천사의 시	Der Himmel Ueber Berlin , Wings Of Desire , 1987	1993	전체 관람가
10569	인생의 반전	Big Business , 1988		PG
10570	그린 카드	Green Card , 1990	1991	15세 관람가
10571	프로테우스4	Demon Seed , 1977		R
10572	애마부인	愛麻夫人 , Madam Aema , 1982	1982	청소년 관람불가
10573	애마부인 2	Madame Ae-ma 2 , 1984	1984	청소년 관람불가
10574	애마부인 3	Ae-ma Woman 3 , 1985	1985	청소년 관람불가
10575	작은 아씨들	Little Women , 1933		NR
10576	인터멧조	Intermezzo: A Love Story , 1939		NR
10577	정글의 여인	Dance Of The Dwarfs , 1984		PG
10578	제너럴	The General , 1926		전체 관람가
10579	살바도르	Salvador , 1986	1988	청소년 관람불가
10580	전쟁과 평화	War And Peace , 1956	1987	12세 관람가
10581	전쟁과 평화 4부	Voyna I Mir IV: Pierre Bezukhov , 1967		NR
10582	줄리아	Julia , 1977		PG
10583	제일유형위험	第一類型危險: Dangerous Encounters Of The First Kind , 1980		NR
10584	위대한 개츠비	The Great Gatsby , 1974	1976	PG
10585	위대한 지그펠드	The Great Ziegfeld , 1936	1946	12세 관람가
10586	분노의 포도	The Grapes Of Wrath , 1940		12세 관람가
10587	가족	Immediate Family , 1989		PG-13
10588	수잔 브링크의 아리랑	Susan Brink's Arirang , 1991	1991	15세 관람가
10589	접시꽃 당신	You My Rose Mellow , 1988	1988	청소년 관람불가
10590	제17 포로수용소	Stalag 17 , 1953	1961	12세 관람가
10591	오베르왈드의 비밀	Il Mistero Di Oberwald , The Mystery Of Oberwald , 1980		NR
10592	지붕 위의 바이올린	Fiddler On The Roof , 1971	1974	G
10593	지상에서 영원으로	From Here To Eternity , 1953	1957	전체 관람가
10594	마지막 홈런	Amos , 1985		
10595	미워도 다시 한번 1부	Love Me Once Again , 1968	1968	12세 관람가
10596	페노미나	Phenomena , 1985	1989	청소년 관람불가
10597	네레트바 전투	Bitka Na Neretvi , The Battle Of Neretva , 1970		G
10598	당통	Danton , 1982		PG
10599	나쁜 피	Mauvais Sang , Bad Blood , 1986	1994	15세 관람가
10600	빅	Big , 1988	1989	12세 관람가
10601	버스 정류장	Bus Stop , 1956	1960	청소년 관람불가
10602	백만장자와 결혼하는 법	How To Marry A Millionaire , 1953		12세 관람가
10603	레전드	Legend , 1985		15세 관람가
10604	카사블랑카여, 다시 한번	Play It Again, Sam , 1972		PG
10605	천국의 문	Heaven's Gate , 1980	1980	15세 관람가
10606	정글 피버	Jungle Fever , 1991		청소년 관람불가
10607	웨스트 포인트	The Long Gray Line , 1955		NR
10608	젊은 날의 초상	Portrait Of The Days Of Youth , 1990	1991	청소년 관람불가
10609	7인의 사무라이	七人の侍 , Seven Samurai , 1954	2004	NR
10610	새엄마는 외계인	My Stepmother Is An Alien , 1988	1991	PG-13
10611	젠다성의 포로	The Prisoner Of Zenda , 1937		NR
10612	젠다성의 포로	The Prisoner Of Zenda , 1952		NR
10613	젠다성의 포로	The Prisoner Of Zenda , 1979		PG
10614	캠퍼스 군단	Toy Soldiers , 1991	1991	청소년 관람불가
10615	커미트먼트	The Commitments , 1991		청소년 관람불가
10616	전쟁의 루머	A Rumor Of War , 1980		
10617	그레이스토크	Greystoke: The Legend Of Tarzan, Lord Of The Apes , 1984	1985	PG
10618	원한의 도곡리 다리	The Bridges At Toko-Ri , 1954		NR
10619	윌로우	Willow , 1988	1990	전체 관람가
10620	이어 오브 드래곤	Manhattan Sur , Year Of The Dragon , 1985	1985	청소년 관람불가
10621	이창	Rear Window , 1954	1957	15세 관람가
10622	브레이크하트 패스	Breakheart Pass , 1976		PG
10623	잃어버린 전주곡	Five Easy Pieces , 1970		R
10624	천국보다 낯선	Stranger Than Paradise , 1984	2017	15세 관람가
10625	상하이 블루스	上海之夜 , Shanghai Blues , 1984		청소년 관람불가
10626	첩혈가두	牒血街頭 , Bullet In The Head , 1990	2015	15세 관람가
10627	촉산	蜀山 , THE WARRIORS FROM THE MAGIC MOUNTAIN , 1983	2015	전체 관람가
10628	제저벨	Jezebel , 1938		NR
10629	크레이머 대 크레이머	Kramer Vs. Kramer , 1979	1980	12세 관람가
10630	7월 4일생	Born On The Fourth Of July , 1989	1990	15세 관람가
10631	코미디의 왕	The King Of Comedy , 1983		15세 관람가
10632	태양의 전사들	The Blood Of Heroes , 1988		청소년 관람불가
10633	천국의 유령	Phantom Of The Paradise , 1974		PG
10634	코브라	Cobra , 1986	1987	청소년 관람불가
10635	사계의 사나이	A Man For All Seasons , 1966		G
10636	태양의 제국	Empire Of The Sun , 1987	1989	PG
10637	정오의 출격	Twelve O'Clock High , 1949		12세 관람가
10638	천금을 마다한 사나이	Mr. Deeds Goes To Town , 1936	2004	NR
10639	마돈나의 수잔을 찾아서	Desperately Seeking Susan , 1985		PG-13
10640	좋은 친구들	Goodfellas , 1990	1991	청소년 관람불가
10641	텍사스 전기톱 학살	The Texas Chain Saw Massacre , 1974		청소년 관람불가
10642	새턴 3	Saturn 3 , 1980		청소년 관람불가
10643	커튼 클럽	The Cotton Club , 1984	1985	청소년 관람불가
10644	톰 존스의 화려한 모험	Tom Jones , 1963		NR
10645	트윈스	Twins , 1988	1989	12세 관람가
10646	도어즈	The Doors , 1991	1993	청소년 관람불가
10647	특전 유보트	Das Boot , The Boat , 1981	1982	15세 관람가
10648	타잔 - 조크 마호니 편 1	Tarzan Goes To India , 1962		NR
10649	복카치오 91	1991	1991	청소년 관람불가
10650	홀리데이 킬러	Tentacles , 1977	1977	PG
10651	실버라도	Silverado , 1985	1986	PG-13
10652	추억	The Way We Were , 1973		12세 관람가
10653	달세계 여행	Le Voyage Dans La Lune , A Trip To The Moon , 1902		NR
10654	2010 우주 여행	2010 , 1984		PG
10655	브레이킹	Breakin' , 1984		PG
10656	나의 사랑 나의 신부	My Love, My Bride , 1990	1990	15세 관람가
10657	적과의 동침	Sleeping With The Enemy , 1991	1991	청소년 관람불가
10658	데이트 소동	Blind Date , 1987		청소년 관람불가
10659	겨울 여자 2	Winter Woman Part II , 1982	1983	청소년 관람불가
10660	마이 페어 레이디	My Fair Lady , 1964		15세 관람가
10661	몽중인	夢中人: The Dream Lovers , 1986	1989	NR
10662	방랑자	The Tramp , 1915		
10663	복수무정	Hard To Kill , 1990	1990	청소년 관람불가
10664	블랙 문 라이징	Black Moon Rising , 1986		청소년 관람불가
10665	비처럼 음악처럼	1992	1992	15세 관람가
10666	캣츠 아이	Cat's Eye , 1985		PG-13
10667	사랑의 종소리	The Father Clements Story , 1987		
10668	일요일은 참으세요	Pote Tin Kyriaki , Never On Sunday , 1960		12세 관람가
10669	인어 공주	The Little Mermaid , 1989	1997	전체 관람가
10670	천녀유혼	倩女幽魂 , A Chinese Ghost Story , 1987	2019	12세 관람가
10671	위기의 암호명	Jumpin' Jack Flash , 1986		청소년 관람불가
10672				
10673	챔프	The Champ , 1931		NR
10674	걸 스크리머	Girls School Screamers , 1986		R
10675	파리는 안개에 젖어	La Maison Sous Les Arbres , The House Under The Trees , 1971		PG
10676	타이페이 스토리	靑梅竹馬 , Taipei Story , 1985	2019	15세 관람가
10677	패튼 대전차 군단	Patton , 1970	1971	15세 관람가
10678	종합병원	The Hospital , 1971		PG
10679	포스트맨은 벨을 두 번 울린다	The Postman Always Rings Twice , 1981	1982	청소년 관람불가
10680	제7의 봉인	Det Sjunde Inseglet , The Seventh Seal , 1957	2012	12세 관람가
10681	특종 기사	The Front Page , 1931		NR
10682	특종 기사	The Front Page , 1974		PG
10683	사랑의 용기	Shining Through , 1992	1992	청소년 관람불가
10684	2001 스페이스 오디세이	2001: A Space Odyssey , 1968		12세 관람가
10685	청춘 낙서	American Graffiti , 1973		PG
10686	천녀유혼 2 - 인간도	女幽魂 II: 人間道 , A Chinese Ghost Story II: The Story Continues... , 1990	2015	12세 관람가
10687	국제 첩보국	The Ipcress File , 1965		
10688	뻐꾸기 둥지 위로 날아간 새	One Flew Over The Cuckoo's Nest , 1975	1977	15세 관람가
10689	사랑과 추억	The Prince Of Tides , 1991	1992	청소년 관람불가
10690	천사와 사랑을	Date With An Angel , 1987	1988	PG
10691	로보 런어웨이	Runaway , 1984		PG-13
10692	7일간의 외출	Une Semaine De Vacances , A Week's Vacation , 1980		NR
10693	이너스페이스	Innerspace , 1987		PG
10694	차이나 신드롬	The China Syndrome , 1979		12세 관람가
10695	사랑과 슬픔의 맨하탄	Q & A , 1990	1991	청소년 관람불가
10696	블랙 썬데이	Black Sunday , 1977	1992	15세 관람가
10697	컬러 퍼플	The Color Purple , 1985	1986	15세 관람가
10698	칼의 고백	Cal , 1984		
10699	탐욕	Greed , 1925		NR
10700	마지막 보이 스카웃	The Last Boy Scout , 1991	1991	청소년 관람불가
10701	파리에서의 마지막 탱고	Last Tango In Paris , 1972	1996	청소년 관람불가
10702	프라하의 봄	The Unbearable Lightness Of Being , 1988	1989	청소년 관람불가
10703	종착역	Stazione Termini , Terminal Station , 1953		NR
10704	젊은 사자들	The Young Lions , 1958		NR
10705	검찰 측 증인 디 오리지널	Witness for the Prosecution , 1957		12세 관람가
10706	샌프란시스코에서 하룻밤	Dogfight , 1991		15세 관람가
10707				
10708	파리 대왕	Lord Of The Flies , 1990	1992	15세 관람가
10709	오지의 미녀	Outback Bound , 1988		
10710	파리 텍사스	Paris, Texas , 1984	1987	15세 관람가
10711	THX-1138	THX-1138 , 1971		PG
10712	애마부인 4	Madame Emma 4 , 1990	1990	청소년 관람불가
10713	애마부인 5	Madame Emma 5 , 1991	1991	청소년 관람불가
10714	애마부인 6	Madame Emma 6 , 1991	1992	청소년 관람불가
10715	죽음의 만우절	April Fool's Day , 1986		청소년 관람불가
10716	코러스 라인	A Chorus Line , 1985	1988	12세 관람가
10717	특근	After Hours , 1985		청소년 관람불가
10718	월 스트리트	Wall Street , 1987	1988	15세 관람가
10719	용감한 변호사	...And Justice For All , 1979		R
10720	아빠를 업고 학교에 가다	Going Back To School With My Dad On My Back , 1998		전체 관람가
10721	더티 해리	Dirty Harry , 1971	1972	청소년 관람불가
10722	더티 해리 2 - 이것이 법이다	Magnum Force , 1973	1977	청소년 관람불가
10723	더티 해리 3 - 집행자	The Enforcer , 1976	1979	청소년 관람불가
10724	더티 해리 4 - 써든 임팩트	Sudden Impact , 1983	1984	청소년 관람불가
10725	더티 해리 5 - 추적자	The Dead Pool , 1988		15세 관람가
10726	48시간	48 Hrs. , 1982	1983	청소년 관람불가
10727	48시간 2	Another 48 Hrs. , 1990	1990	청소년 관람불가
10728	행운의 반전	Reversal Of Fortune , 1990		15세 관람가
10729	집시의 시간	Dom Za Vesanje , Time Of The Gypsies , 1989	1993	청소년 관람불가
10730	밤비	Bambi , 1942		
10731	비치 바니즈	Buford's Beach Bunnies , 1993	1993	청소년 관람불가
10732	괴짜들의 병영 일지	Stripes , 1981		R
10733	자전거를 타고 온 연인	1991	1992	15세 관람가
10734	내일을 향해 쏴라 2	Butch And Sundance: The Early Days , 1979		PG
10735	나이트메어 2 - 프레디의 복수	A Nightmare On Elm Street Part 2: Freddy's Revenge , 1985	1987	청소년 관람불가
10736	나이트메어 3 - 꿈의 전사	A Nightmare On Elm Street 3: Dream Warriors , 1987	1987	청소년 관람불가
10737	나이트메어 4 - 꿈의 지배자	A Nightmare On Elm Street 4: The Dream Master , 1988	1989	15세 관람가
10738	나이트메어 5 - 꿈꾸는 아이들	A Nightmare On Elm Street: The Dream Child , 1989	1990	청소년 관람불가
10739	나이트메어 6 - 프레디 죽다	Freddy's Dead: The Final Nightmare , 1991	1992	청소년 관람불가
10740	JFK	JFK , 1991	1992	15세 관람가
10741	연인	L'Amant , The Lover , 1992	2016	청소년 관람불가
10742	원초적 본능	Basic Instinct , 1992	1992	청소년 관람불가
10743	몬트리올 예수	Jesus De Montreal , Jesus Of Montreal , 1989		15세 관람가
10744	불을 찾아서	La Guerre Du Feu , Quest For Fire , 1981	1991	청소년 관람불가
10745	비목	碑木 , 1978	1979	전체 관람가
10746	폴리스 스토리	警察故事 , Police Story , 1985	2015	12세 관람가
10747	파리 애마	Paris Emma , 1988	1988	청소년 관람불가
10748	붉은 사막	Il Deserto Rosso , Red Desert , 1964		NR
10749	하워드 덕	Howard The Duck , 1986		PG
10750	반달 거리	Half Moon Street , 1986		청소년 관람불가
10751	블루 라군	The Blue Lagoon , 1980	1988	청소년 관람불가
10752	비밀 문서 소동	The Adventure Of Sherlock Holmes' Smarter Brother , 1975		PG
10753	물방울	The Blob , 1958		
10754	사랑의 파도	Sea Of Love , 1989	1990	청소년 관람불가
10755	미스터 부 - 귀마쌍성	Games Gamblers Play , 1974		NR
10756	소울 맨	Soul Man , 1986		PG-13
10757	적 그리고 사랑 이야기	Enemies: A Love Story , 1989	1990	R
10758	아이다호	My Own Private Idaho , 1991	1991	청소년 관람불가
10759	페임	Fame , Fame: The Original Movie , 1980		15세 관람가
10760	고양이	What's New, Pussycat , 1965		NR
10761	나이아가라	Niagara , 1953	1955	NR
10762	달마가 동쪽으로 간 까닭은?	Why Has Bodhi-Dharma Left For The East? , 1989	1989	전체 관람가
10763	캐논볼 2	Cannonball Run II , 1984		PG
10764	기쁜 우리 젊은 날	Our Joyful Young Days , 1987	1987	12세 관람가
10765	공군 대전략	Battle Of Britain , 1969		G
10766	캐디쉑 2	Caddyshack II , 1988		PG
10767	사랑의 기적	Awakenings , 1990	1991	전체 관람가
10768	배트 21	Bat 21 , 1988	1989	15세 관람가
10769	필사의 도전	The Right Stuff , 1983		12세 관람가
10770	수전지대	1968	1968	NR
10771	가을 날의 동화	秋天的童話: An Autumn's Tale , 1987	1989	
10772	극지방의 위기	Polarized , 2007		
10773	프랭키와 자니	Frankie And Johnny , 1966		NR
10774	로라	Laura , 1944		15세 관람가
10775	프랭키와 쟈니	Frankie And Johnny , 1991	1992	청소년 관람불가
10776	용사들을 위하여	For The Boys , 1991		R
10777	하타리	Hatari! , 1962	1964	15세 관람가
10778	아이들의 왕	孩子王 , King Of The Children , 1987		NR
10779	골든 차일드	The Golden Child , 1986		PG-13
10780	연지구	'月+因'脂拘 , Rouge , 1987		NR
10781	애들이 줄었어요	Honey, I Shrunk The Kids , 1989	1990	
10782	1900년	Novecento , 1976		청소년 관람불가
10783	반도레로	Bandolero! , 1968	1969	PG
10784	비루먹은 말을 봐라	Behold A Pale Horse , 1964		NR
10785	로니 브레이브	Lonely Are The Brave , 1962		NR
10786	소유와 무소유	To Have And Have Not , 1944	1948	12세 관람가
10787	비련의 공주 엘리자베스	Young Bess , 1953		NR
10788	소권괴초 2 - 용등호약	龍騰虎躍 , Fearless Hyena Part II , 1983	2015	전체 관람가
10789	수탉	Rooster , 1990	1990	청소년 관람불가
10790	SOS 베이루트행 847	The Taking Of Flight 847: The Uli Derickson Story , 1988		
10791	타잔 - 엘모 린콘 편 1	Tarzan Of The Apes , 1918		
10792	브라질	Brazil , 1985		15세 관람가
10793				
10794	아이반호	Ivanhoe , 1952		NR
10795	유혹은 밤 그림자처럼	Internal Affairs , 1990	1990	청소년 관람불가
10796	벅시	Bugsy , 1991	1992	청소년 관람불가
10797	투 캐치 어 스파이	To Catch A Spy , 1971		NR
10798	WR 유기체의 신비	W.R. - Mysterije Organizma , W.R.: Mysteries Of The Organism , 1971		NR
10799	내 친구 제제	내친구 제제 , 1989	1989	전체 관람가
10800	토탈 리콜	Total Recall , 1990	1990	청소년 관람불가
10801	비버리 힐의 낮과 밤	Down And Out In Beverly Hills , 1986		청소년 관람불가
10802	김의 전쟁	金의 戰爭 , Kim's War , 1992	1992	15세 관람가
10803	황무지	Badlands , 1973		PG
10804	롤라 몽테스	Lola Montez , Lola Montes , 1955		NR
10805	101마리의 달마시안 개	One Hundred And One Dalmatians , 1961		G
10806	애란	愛亂 , Aeran , 1989	1989	청소년 관람불가
10807	비탄	Heartaches , 1981		R
10808	타잔 - 마일스 오키프 편	Tarzan, The Ape Man , 1981		R
10809	로라 내사랑	Une Femme Ou Deux , One Woman Or Two , 1985		PG-13
10810	모두가 죽이고 싶던 여자	1992	1992	청소년 관람불가
10811	이자벨 에버하트	Isabelle Eberhardt , 1991	1992	청소년 관람불가
10812	마이키 이야기 2	Look Who's Talking Too , 1990	1991	12세 관람가
10813	우묵배미의 사랑	A Short Love Affair , 1990	2018	청소년 관람불가
10814	장군의 아들 2	將軍의 아들 2: The Generla's Son 2 , 1991	1991	15세 관람가
10815	장군의 아들 3	將軍의 아들 3: The General's Son 3 , 1992	1992	15세 관람가
10816	인천	Inchon , 1981		PG
10817	딕 트레이시	Dick Tracy , 1990	1991	15세 관람가
10818	우리 생애 최고의 해	The Best Years Of Our Lives , 1946		NR
10819	우뢰매	Wuroi-mae From Outer Space , 1986	1986	전체 관람가
10820	내 사랑 동키호테	My Love, Don Quixote , 1989	1989	15세 관람가
10821	루 모귀의 살인자	Murders In The Rue Morgue , 1971		PG
10822	백경	Moby Dick , 1956	2014	15세 관람가
10823	바운티호의 반란	Mutiny On The Bounty , 1935		12세 관람가
10824	바운티호의 반란	The Bounty , 1984		NR
10825	배틀 포스	Il Grande attacco , Battle Force , 1977		PG
10826	사랑의 묘약	Loco Veneno , 1988		NR
10827	영심이	0심이: Young-Shim , 1990	1990	전체 관람가
