people	korean	original
6760	제인 브룩커	Jane Brucker
6771	브라이언 백커	Brian Backer
6773	스콧 톰슨	Scott Thomson
6774	아만다 위스	Amanda Wyss
6782	엘리자베스 데일리	Elizabeth Daily
6786	쥬드 오멘	Judd Omen
6816	패트리시아 칼렘버	Patricia Kalember
6817	카이라 세드윅	Kyra Sedgwick
6818	박형준	
6826	윌리암 새들러	William Sadler
6835	아만다 워커	Amanda Walker
6838	팻 로치	Pat Roach
6841	비브카 린드포스	Viveca Lindfors
6849	스튜어트 윌슨	Stuart Wilson
6851	알란 스카피	Alan Scarfe
6854	달린 러브	Darlene Love
6855	마샤 플림튼	Martha Plimpton
6856	존 마츠작	John Matuszak
6857	앤 램지	Anne Ramsey
6859	스티브 앤틴	Steve Antin
6860	올리버 리드	Oliver Reed
6862	프레드 달튼 톰슨	Fred Dalton Thompson
6864	리차드 젠킨스	Richard Jenkins
6871	로버트 클롯워디	Robert Clotworthy
6875	테드 웨스	Ted Wass
6878	제이슨 버나드	Jason Bernard
6887	레이 밀렌드	Ray Milland
6889	안소니 도슨	Anthony Dawson
6892	버나드 리	Bernard Lee
6893	로이 도트라이스	Roy Dotrice
6898	제임스 웨일	James Whale
6900	조안 베넷	Joan Bennett
6902	세실 B. 드밀	Cecil B. DeMille
6912	토드 그라프	Todd Graff
6913	그레고리 하인즈	Gregory Hines
6914	아만다 페이스	Amanda Pays
6915	케이 통 림	Kay Tong Lim
6916	크리스토퍼 크로우	Christopher Crowe
6920	조지 마샬	George Marshall
6921	캐롤 베이커	Carroll Baker
6922	리J.콥	Lee J. Cobb
6923	캐럴린 존스	Carolyn Jones
6926	브렌다 바카로	Brenda Vaccaro
6928	데브니 콜먼	Dabney Coleman
6930	잭 알버트슨	Jack Albertson
6931	로이 키니어	Roy Kinnear
6932	마이클 요크	Michael York
6933	프랭크 핀레이	Frank Finlay
6934	클리프 로버트슨	Cliff Robertson
6936	나이젤 하버스	Nigel Havers
6938	마이클 폴린	Michael Palin
6948	폴 가일포일	Paul Guilfoyle
6949	폴 가일포일	Paul Guilfoyle
6952	미구엘 A. 누네즈 주니어	Miguel A. Nunez Jr.
6957	글린 터먼	Glynn Turman
6961	칼 럼블리	Carl Lumbly
6962	리처드 로슨	Richard Lawson
6964	필립 카스노프	Philip Casnoff
6974	김서라	김영림
6980	이일웅	
6991	제임스 가먼	James Gammon
6995	그레고리 이친	Gregory Itzin
7003	소피 워드	Sophie Ward
7009	에드워드 우드워드	Edward Woodward
7010	클리브 도너	Clive Donner
7011	다이안 캐넌	Dyan Cannon
7020	마이클 고	Michael Gough
7021	트레이시 월터	Tracey Walter
7025	허브 에델만	Herb Edelman
7028	보리스 칼로프	Boris Karloff
7029	윌리엄 디터리	William Dieterle
7030	게일 손더그라드	Gale Sondergaard
7031	아이린 던	Irene Dunne
7033	휴 그리피스	Hugh Griffith
7048	피셔 스티븐스	Fisher Stevens
7049	폴 레이저	Paul Reiser
7051	팻시 켄싯	Patsy Kensit
7053	데니스 크로스비	Denise Crosby
7054	앤드류 맥카시	Andrew McCarthy
7072	시릴 오렐리	Cyril O'Reilly
7074	토마스 이안 그리피스	Thomas Ian Griffith
7079	앨런 바델	Alan Badel
7082	모리스 덴험	Maurice Denham
7083	베르농 도브체프	Vernon Dobtcheff
7084	자크 프랑소와	Jacques Francois
7085	마셀 론데일	Michael Lonsdale
7090	맥시밀리안 쉘	Maximilian Schell
7091	발 에이버리	Val Avery
7094	알렉스 윈터	Alex Winter
7095	테리 카밀레리	Terry Camilleri
7096	클리포드 데이빗	Clifford David
7097	로드 루미스	Rod Loomis
7098	토니 스티드먼	Tony Steedman
7099	제인 위들린	Jane Wiedlin
7103	알 레옹	Al Leong
7104	댄 쇼어	Dan Shor
7112	윤문식	
7117	이보희	조영숙
7119	김애경	
7127	로버트 V. 바론	Robert V. Barron
7136	전청	
7137	이순재	
7145	오즈 스콧	Oz Scott
7151	보 브리지스	Beau Bridges
7159	론 채니	Lon Chaney
7165	샘 쉐퍼드	Sam Shepard
7166	케이트 맥닐	Kate McNeil
7172	사이먼 캘로우	Simon Callow
7187	래리 한킨	Larry Hankin
7190	대런 맥개빈	Darren McGavin
7199	니콜라스 파렐	Nicholas Farrell
7201	나다니엘 파커	Nathaniel Parker
7202	마이클 말로니	Michael Maloney
7205	이희도	
7207	강태기	
7209	김형자	
7210	한지일	
7212	연규진	
7213	이혜숙	
7214	윤유선	
7218	임성민	
7229	유혜리	최수연
7234	김성찬	
7235	마흥식	
7238	정동환	
7239	전인택	
7245	로산 세스	Roshan Seth
7249	김희갑	
7272	하워드 지프	Howard Zieff
7273	바바라 배리	Barbara Barrie
7274	리처드 헤드	Richard Herd
7275	찰스 시오피	Charles Cioffi
7277	김무생	
7284	데이빗 클레넌	David Clennon
7291	크루 굴레이저	Clu Gulager
7293	돈 칼파	Don Calfa
7295	켄트 맥코드	Kent McCord
7296	제임스 T. 캘러핸	James T. Callahan
7297	사라 더글러스	Sarah Douglas
7298	레오 맥커리	Leo McCarey
7300	수잔 플리트우드	Susan Fleetwood
7307	이응경	
7316	워드 코스텔로	Ward Costello
7317	제니스 룰	Janice Rule
7322	멜라니 메이론	Melanie Mayron
7328	로버트 스택	Robert Stack
7332	트레버 이브	Trevor Eve
7343	최명길	
7347	피터 퍼스	Peter Firth
7349	데이빗 페이머	David Paymer
7353	케빈 던	Kevin Dunn
7355	제프 파헤이	Jeff Fahey
7365	마이클 렘벡	Michael Lembeck
7378	폴 르 맷	Paul Le Mat
7379	메켄지 필립스	Mackenzie Phillips
7380	찰스 마틴 스미스	Charles Martin Smith
7382	신디 윌리엄스	Cindy Williams
7383	보 홉킨스	Bo Hopkins
7385	데이빗 셀버그	David Selburg
7392	금보라	손미자
7394	알리스 하워드	Arliss Howard
7395	찰리 코스모	Charlie Korsmo
7410	로버트 샤이	Robert Shaye
7426	존 웰스	John Wells
7428	마이클 크라이튼	Michael Crichton
7456	조안나 캐시디	Joanna Cassidy
7464	페네로피 밀포드	Penelope Milford
7469	알렉산드라 파워스	Alexandra Powers
7470	마크 맥클루어	Marc McClure
7473	C. 토마스 하우엘	C. Thomas Howell
7477	윌리엄 스미스	William Smith
7489	스벤-올리 도슨	Sven-Ole Thorsen
7523	제임스 브라운	James Brown
7528	리처드 벤처	Richard Venture
7532	토미 타이니 리스터	Tommy 'Tiny' Lister
7545	프랭크 맥래	Frank McRae
7559	조 돈 베이커	Joe Don Baker
7561	앤드류 로빈슨	Andrew Robinson
7562	쉬리 노스	Sheree North
7563	노먼 펠	Norman Fell
7564	벤슨 퐁	Benson Fong
7565	우드로 파프리	Woodrow Parfrey
7566	윌리엄 솨러트	William Schallert
7568	마조리 베넷	Marjorie Bennett
7572	톰 디칠로	Tom DiCillo
7573	존 루리	John Lurie
7574	리처드 보스	Richard Boes
7575	토니 로 비안코	Tony Lo Bianco
7579	케빈 타이게	Kevin Tighe
7582	죠 그리파시	Joe Grifasi
7583	루이스 조리치	Louis Zorich
7588	스티븐 멘딜로	Stephen Mendillo
7596	남성훈	
7599	유지인	이윤희
7601	폴 칼데론	Paul Calderon
7611	존 쉐아	John Shea
7612	박예숙	
7613	이무정	
7614	한태일	
7616	오도규	
7617	정호대	
7618	김신명	
7619	박용팔	
7620	엄종선	
7630	안소니 제임스	Anthony James
7658	요시오카 히데타카	Hidetaka Yoshioka
7660	김청기	
7671	마크 라이델	Mark Rydell
7674	마리솔	Marisol
7683	정애란	
7702	나열	
7704	마샬 벨	Marshall Bell
7707	레오 맥켄	Leo McKern
7709	배리 포스터	Barry Foster
7744	가야마 유조	Yuzo Kayama
7747	유영국	
7748	잭 숄더	Jack Sholder
7755	라프 발로네	Raf Vallone
7776	김형일	
7784	브라이언 데니히	Brian Dennehy
7792	이낙훈	
7794	로저 돌트리	Roger Daltrey
7816	주선태	
7838	이호성	
7847	브래드 데이비스	Brad Davis
7849	탈리사 소토	Talisa Soto
7869	박상민	
7870	전원주	
7928	존 머스커	John Musker
7929	론 클레멘츠	Ron Clements
7942	앤드류 V. 맥라글렌	Andrew V. McLaglen
7947	조민기	
7954	라나 우드	Lana Wood
7955	지미 딘	Jimmy Dean
7956	데니스 아드트	Denis Arndt
7961	안병경	
7972	고비	Phillip Ko Fei
7975	얼 보엔	Earl Boen
7995	방희	
7997	베르트랑 타베르니에	Bertrand Tavernier
7999	캐럴 리드	Carol Reed
8019	남포동	
8035	임예진	임기희
8045	크리스 맥쿼드	Kris McQuade
8050	왕종	Wong Chung
8070	강석현	
8073	이승엽	
8078	행 S. 응고르	Haing S. Ngor
8087	버트 I. 고든	Bert I. Gordon
8095	존 스톡웰	John Stockwell
8121	이석기	
8126	콜린 히긴스	Colin Higgins
8127	할 니드햄	Hal Needham
8179	마크 로렌스	Marc Lawrence
8186	유진 리핀스키	Eugene Lipinski
8188	막스 오퓔스	Max Ophuls
8234	스티브 바론	Steve Barron
8245	릭 로젠탈	Rick Rosenthal
8261	다리오 아르젠토	Dario Argento
8295	프리실라 프레슬리	Priscilla Presley
8319	안소니 퍼킨스	Anthony Perkins
8320	베라 마일즈	Vera Miles
8324	선우은숙	
8337	워리스 후세인	Waris Hussein
8348	클라우디아 카르디날레	Claudia Cardinale
8350	남정임	
8363	진 네글레스코	Jean Negulesco
8372	길달호	
8386	니콜라스 메이어	Nicholas Meyer
8415	올리비아 드 하빌랜드	Olivia De Havilland
8417	조셉 거튼	Joseph Cotten
8427	에블린 키예스	Evelyn Keyes
8428	다나 앤드류스	Dana Andrews
8431	이상아	
8433	앤 루더포드	Ann Rutherford
8435	베베 뉴워스	Bebe Neuwirth
8469	로렌 바콜	Lauren Bacall
8479	토니 랜들	Tony Randall
8514	데이빗 캐러딘	David Carradine
8527	데브 그리어	Dabbs Greer
8532	알리 맥그로우	Ali MacGraw
8533	존 마리	John Marley
8535	시드니 워커	Sydney Walker
8536	로버트 모디카	Robert Modica
8537	러셀 나이피	Russell Nype
8541	존 글렌	John Glen
8542	다이아나 리그	Diana Rigg
8543	가브리엘레 페르제티	Gabriele Ferzetti
8544	조지 베이커	George Baker
8547	브루스 글로버	Bruce Glover
8548	피오나 루이스	Fiona Lewis
8550	크리스토퍼 앳킨스	Christopher Atkins
8551	로버트 로건	Robert Logan
8584	루벤 블레이즈	Ruben Blades
8588	어네스트 보그나인	Ernest Borgnine
8593	존 핀치	Jon Finch
8594	다니엘 보랭거	Daniel Boulanger
8637	크리스핀 글로버	Crispin Glover
8644	드류 스나이더	Drew Snyder
8646	스우지 커즈	Swoosie Kurtz
8665	모리 마사유키	Masayuki Mori
8677	카멘 아젠지아노	Carmen Argenziano
8690	프레데릭 코핀	Frederick Coffin
8701	베스 암스트롱	Bess Armstrong
8702	앤드류 다이스 클레이	Andrew Dice Clay
8711	샘 바톰즈	Sam Bottoms
8733	폴 윈필드	Paul Winfield
8740	마이클 엔사인	Michael Ensign
8745	윌 조던	Will Jordan
8785	박철수	PARK Chul-soo
8801	조쉬 찰스	Josh Charles
8802	게일 핸슨	Gale Hansen
8803	딜란 커스먼	Dylan Kussman
8804	제임스 워터스톤	James Waterston
8805	노먼 로이드	Norman Lloyd
8806	조지 마틴	George Martin
8807	레온 포낼	Leon Pownall
8812	알레론 루지에로	Allelon Ruggiero
8819	돈 하비	Don Harvey
8854	잭 맥기	Jack McGee
8891	렉스 리드	Rex Reed
8963	전양자	
8966	주현	주일춘
8996	리처드 킬리	Richard Kiley
8999	아서 오코넬	Arthur O'Connell
9000	에드먼드 오브라이언	Edmond O'Brien
9061	이봉규	
9154	브래들리 그레그	Bradley Gregg
9157	프란시스 리 맥케인	Frances Lee McCain
9173	안인숙	
9220	티모시 스폴	Timothy Spall
9254	팩스톤 화이트헤드	Paxton Whitehead
9281	로버트 스티븐스	Robert Stephens
9282	데이빗 네이도프	David Neidorf
9296	브루스 애보트	Bruce Abbott
9297	제프리 콤스	Jeffrey Combs
9301	데보라 카	Deborah Kerr
9302	도나 리드	Donna Reed
9303	프랭크 시나트라	Frank Sinatra
9304	필립 오베	Philip Ober
9306	존 데니스	John Dennis
9311	팀 라이언	Tim Ryan
9324	돈 머레이	Don Murray
9333	페드로 아멘다리즈	Pedro Armendariz
9334	유니스 게이슨	Eunice Gayson
9338	조셉 와이즈먼	Joseph Wiseman
9339	잭 로드	Jack Lord
9340	제나 마샬	Zena Marshall
9344	제이미 유이스	Jamie Uys
9346	레이 와이즈	Ray Wise
9380	톰 앨드리지	Tom Aldredge
9384	로이스 D. 애플게이트	Royce D. Applegate
9392	켄 새고즈	Ken Sagoes
9491	리카르도 몬탈반	Ricardo Montalban
9496	게리 바만	Gerry Bamman
9497	데빈 라트레이	Devin Ratray
9498	힐러리 울프	Hillary Wolf
9499	로버츠 브로좀	Roberts Blossom
9500	폴 그레코	Paul Greco
9501	스티브 쉴	Steve Shill
9542	라이오넬 베리모어	Lionel Barrymore
9546	좌효호	
9598	리차드 프라이어	Richard Pryor
9707	캐리 로웰	Carey Lowell
9716	패트릭 위드마크	Patrick Wymark
9717	마이클 홀든	Michael Hordern
9718	로버트 베티	Robert Beatty
9719	도날드 휴스톤	Donald Houston
9722	다렌 네스빗	Derren Nesbitt
9724	페르디 마이네	Ferdy Mayne
9803	리사 보넷	Lisa Bonet
9858	앤드류 스티븐스	Andrew Stevens
9862	데보라 에버턴	Deborah Everton
9893	안소니 저브	Anthony Zerbe
9894	에버렛 맥길	Everett McGill
9898	안소니 스털크	Anthony Starke
9905	돈 스트로우드	Don Stroud
9910	클로디오 브룩	Claudio Brook
9960	콘처터 페렐	Conchata Ferrell
9964	미미 케네디	Mimi Kennedy
9985	문미봉	
9986	클로디아 웰즈	Claudia Wells
9987	웬디 조 스페버	Wendie Jo Sperber
9988	바비 디 시코	Bobby Di Cicco
9995	리키 딘 로건	Ricky Dean Logan
10001	맷 클라크	Matt Clark
10002	팻 버트램	Pat Buttram
10003	해리 커리 쥬니어	Harry Carey Jr.
10004	더브 테일러	Dub Taylor
10029	케네스 콜리	Kenneth Colley
10052	재키 글리슨	Jackie Gleason
10063	헬렌 쉐이버	Helen Shaver
10076	애니 로스	Annie Ross
10077	잭 오할로런	Jack O'Halloran
10079	조지 리브스	George Reeves
10080	마리아 쉘	Maria Schell
10081	필리스 새스터	Phyllis Thaxter
10083	제프 이스트	Jeff East
10085	바바라 오닐	Barbara O'Neil
10086	프레드 크레인	Fred Crane
10090	조베스 윌리암스	JoBeth Williams
10091	베아트리스 스트레이트	Beatrice Straight
10096	올리버 로빈스	Oliver Robins
10098	클리프톤 제임스	Clifton James
10102	로저 브리얼리	Roger Brierley
10106	로버트 블레이크	Robert Blake
10114	파멜라 스테펜슨	Pamela Stephenson
10120	마크 필로우	Mark Pillow
10133	알렉산더 고더노브	Alexander Godunov
10134	윌리암 아서톤	William Atherton
10136	하트 보크너	Hart Bochner
10139	안드레아스 위스니에우스키	Andreas Wisniewski
10141	데보라 화이트	De'Voreaux White
10148	윌헴 본 홈버그	Wilhelm von Homburg
10151	맷 랜더스	Matt Landers
10160	린 어벌조노이스	Rene Auberjonois
10161	코빈 번슨	Corbin Bernsen
10163	데니스 핌플	Dennis Fimple
10165	줄리어스 해리스	Julius Harris
10167	에드 로터	Ed Lauter
10169	조지 모레노	Jorge Moreno
10179	아메디	Amedee
10180	로렌스 배디	Laurence Badie
10181	마델레인 바버리	Madeleine Barbulee
10182	피에르 메로베	Pierre Merovee
10191	크리스티나 레인스	Cristina Raines
10193	존 맥케너리	John McEnery
10202	앨런 웹	Alan Webb
10211	앤 마그렛	Ann-Margret
10212	아트 에반스	Art Evans
10229	프레드 아스테어	Fred Astaire
10233	노먼 버톤	Norman Burton
10234	돈 고돈	Don Gordon
10235	펠톤 페리	Felton Perry
10236	그레고리 시에라	Gregory Sierra
10237	어니 F. 올서티	Ernie F. Orsatti
10246	안젤라 고덜즈	Angela Goethals
10253	브랜든 드 와일드	Brandon De Wilde
10254	에드가 뷰캐넌	Edgar Buchanan
10256	엘리사 쿡 주니어	Elisha Cook Jr.
10257	더글러스 스펜서	Douglas Spencer
10258	존 디어키스	John Dierkes
10272	헨리 토마스	Henry Thomas
10273	팻 웰쉬	Pat Welsh
10274	로버트 바톤	Robert Barton
10275	마이클 더렐	Michael Durrell
10276	숀 프리에	Sean Frye
10277	K. C. 마르텔	K. C. Martel
10290	오스카 폴크	Oscar Polk
10291	버터플라이 맥퀸	Butterfly McQueen
10292	빅터 조리	Victor Jory
10293	에버렛 브라운	Everett Brown
10301	버제스 메러디스	Burgess Meredith
10305	조지 메몰리	George Memmoli
10311	토니 버톤	Tony Burton
10312	레너드 게인스	Leonard Gaines
10334	마이클 퍼터키	Michael Pataki
10345	토미 모리슨	Tommy Morrison
10346	세이지 스텔론	Sage Stallone
10397	셰인 블랙	Shane Black
10417	김찬	Kim Chan
10431	딕 밀러	Dick Miller
10446	스탠 윈스턴	Stan Winston
10447	로레인 게리	Lorraine Gary
10448	칼 고티렙	Carl Gottlieb
10455	조 알베스	Joe Alves
10460	조시프 마스콜로	Joseph Mascolo
10474	사이먼 맥코킨데일	Simon MacCorkindale
10475	존 푸치	John Putch
10497	랜스 게스트	Lance Guest
10498	주디스 바시	Judith Barsi
10499	린 휘트필드	Lynn Whitfield
10501	미첼 앤더슨	Mitchell Anderson
10509	조세프 서전트	Joseph Sargent
10524	터트 렘코우	Tutte Lemkow
10533	데이비드 입	David Yip
10543	윌러드 휴익	Willard Huyck
10549	리처드 영	Richard Young
10552	일사 블레어	Isla Blair
10555	래 돈 총	Rae Dawn Chong
10556	베론 웰스	Vernon Wells
10557	제임스 올슨	James Olson
10567	워터 스콧	Walter Scott
10569	마크 L. 레스터	Mark L. Lester
10587	캐리 헨	Carrie Henn
10588	윌리엄 홉	William Hope
10589	리코 로스	Ricco Ross
10590	알 매튜즈	Al Matthews
10596	프란체스코 퀸	Francesco Quinn
10597	케빈 딜런	Kevin Dillon
10598	로지 존슨	Reggie Johnson
10599	마크 모세스	Mark Moses
10600	크리스 페덜슨	Chris Pedersen
10601	콜키 포드	Corkey Ford
10602	이반 케인	Ivan Kane
10603	폴 산체즈	Paul Sanchez
10604	J. 애덤 글로버	J. Adam Glover
10605	코레이 글로버	Corey Glover
10616	레드 버튼스	Red Buttons
10617	캐롤 린리	Carol Lynley
10618	스텔라 스티븐스	Stella Stevens
10619	쉘리 윈터스	Shelley Winters
10620	파멜라 수 마틴	Pamela Sue Martin
10621	에릭 세어	Eric Shea
10622	프레드 새도프	Fred Sadoff
10623	잔 알번	Jan Arvan
10624	바이런 웹스터	Byron Webster
10630	잭 호킨스	Jack Hawkins
10631	안드레 모렐	Andre Morell
10634	펄시 허버트	Percy Herbert
10636	앤 시어스	Ann Sears
10649	데이빗 니븐	David Niven
10650	스탠리 베이커	Stanley Baker
10651	안소니 퀘일	Anthony Quayle
10652	제임스 대런	James Darren
10653	지아 스칼라	Gia Scala
10656	마이클 트러브쇼우	Michael Trubshawe
10658	월터 고텔	Walter Gotell
10666	프랑코 네로	Franco Nero
10667	리차드 키엘	Richard Kiel
10668	필립 레덤	Philip Latham
10669	앵거스 막클네스	Angus MacInnes
10671	마이클 쉬어드	Michael Sheard
10686	브루스 로빈슨	Bruce Robinson
10691	로버트 데먼	Robert Deman
10692	빌 머미	Bill Mumy
10693	조지 컬러리스	George Coulouris
10696	빅 타이백	Vic Tayback
10704	디미트라 알리스	Dimitra Arliss
10708	리 폴	Lee Paul
10724	자크 걸리건	Zach Galligan
10725	호이트 악스톤	Hoyt Axton
10726	폴리 홀리데이	Polly Holliday
10727	케이 루크	Keye Luke
10728	스콧 브래디	Scott Brady
10731	조나단 뱅스	Jonathan Banks
10732	에드워드 앤드류즈	Edward Andrews
10737	존 맥킨타이어	John McIntire
10738	시몬 오클랜드	Simon Oakland
10739	본 테일러	Vaughn Taylor
10740	프랭크 앨버트슨	Frank Albertson
10741	러렌 터틀	Lurene Tuttle
10742	패트리샤 히치콕	Patricia Hitchcock
10743	존 앤더슨	John Anderson
10744	모트 밀스	Mort Mills
10747	샘 플린트	Sam Flint
10748	버지니아 그렉	Virginia Gregg
10756	휴 길린	Hugh Gillin
10757	로버트 앨런 브로운	Robert Alan Browne
10760	리 갈링톤	Lee Garlington
10764	리처드 프랭클린	Richard Franklin
10768	다이애나 스카위드	Diana Scarwid
10769	로버타 맥스웰	Roberta Maxwell
10781	제인 위더스	Jane Withers
10782	칠 윌스	Chill Wills
10783	멀시데스 맥캠브릿지	Mercedes McCambridge
10786	얼 홀리먼	Earl Holliman
10787	폴 픽스	Paul Fix
10801	다니엘 본 제넥	Danielle Von Zerneck
10802	릭 디스	Rick Dees
10809	샘 앤더슨	Sam Anderson
10816	루이스 발데즈	Luis Valdez
10819	카를로스 산타나	Carlos Santana
10821	마이클 탤보트	Michael Talbott
10822	존 맥리엄	John McLiam
10823	알프 험프레이즈	Alf Humphreys
10824	데이빗 L. 크로리	David L. Crowley
10825	돈 맥케이	Don Mackay
10833	찰스 네이피어	Charles Napier
10859	마틴 코브	Martin Kove
10863	마이클 루커	Michael Rooker
10867	랄프 웨이트	Ralph Waite
10873	토니 무나포	Tony Munafo
10883	밥 건튼	Bob Gunton
10884	제시 벤추라	Jesse Ventura
10907	마흐 드 종	Marc De Jonge
10908	스피로스 포카스	Spiros Focas
10914	하야 하라릿	Haya Harareet
10915	스티븐 보이드	Stephen Boyd
10916	마샤 스코트	Martha Scott
10917	캐시 오도넬	Cathy O'Donnell
10919	핀레이 커리	Finlay Currie
10929	클레어 블룸	Claire Bloom
10930	앨버트 서미	Albert Salmi
10931	리차드 베이스하트	Richard Basehart
10939	마틴 휴이트	Martin Hewitt
10944	다이슨 로벨	Dyson Lovell
10975	엘피디아 칼리로	Elpidia Carrillo
10976	리처드 케이브즈	Richard Chaves
10977	마리아 콘치타 알론소	Maria Conchita Alonso
10978	모턴 다우니 주니어	Morton Downey Jr.
10979	캐빈 록하트	Calvin Lockhart
10981	잭 맥고런	Jack MacGowran
10982	데이비드 워너	David Warner
10983	빌리 화이트로우	Billie Whitelaw
10984	패트릭 트로우톤	Patrick Troughton
10985	마틴 벤슨	Martin Benson
10987	도금봉	
10988	리차드 브래드포드	Richard Bradford
10990	마리안느 코흐	Marianne Koch
10991	지안 마리아 볼론테	Gian Maria Volonte
10992	울프강 럭치	Wolfgang Lukschy
10993	사이어트 럽	Sieghardt Rupp
10996	제시카 월터	Jessica Walter
10997	도나 밀스	Donna Mills
10998	존 라취	John Larch
10999	잭 깅	Jack Ging
11000	아이린 허비	Irene Hervey
11001	제임스 맥이친	James McEachin
11004	미치 라이언	Mitch Ryan
11005	로버츠 블로솜	Robert Blossom
11006	잭 시보	Jack Thibeau
11022	론다 플레밍	Rhonda Fleming
11023	조 반 플리트	Jo Van Fleet
11025	프랭크 파이른	Frank Faylen
11026	리차드 S. 카텔라노	Richard S. Castellano
11027	스테링 하이든	Sterling Hayden
11028	리처드 콘트	Richard Conte
11029	알 레티어리	Al Lettieri
11032	마이클 V. 가조	Michael V. Gazzo
11033	개스톤 모스친	Gastone Moschin
11034	패트리샤 닐	Patricia Neal
11035	미키 루니	Mickey Rooney
11039	드포레스트 켈리	DeForest Kelley
11040	제임스 두한	James Doohan
11041	조지 타케이	George Hosato Takei
11042	워터 코에닉	Walter Koenig
11043	니셸 니콜스	Nichelle Nichols
11044	데이비드 그라프	David Graf
11045	마이클 윈슬로우	Michael Winslow
11046	브루스 말러	Bruce Mahler
11047	마리온 램지	Marion Ramsey
11048	아트 메트라노	Art Metrano
11049	제리 패리스	Jerry Paris
11051	레슬리 이스터브룩	Leslie Easterbrook
11052	팀 카즈린스키	Tim Kazurinsky
11053	밥 골드웨이트	Bob Goldthwait
11056	짐 드레이크	Jim Drake
11057	자넷 존스	Janet Jones
11058	랜스 킨시	Lance Kinsey
11059	게리트 그라함	Gerrit Graham
11060	피터 보너즈	Peter Bonerz
11064	레이 맥아널리	Ray McAnally
11065	로널드 픽업	Ronald Pickup
11066	척 로우	Chuck Low
11067	버셀리오 모야	Bercelio Moya
11068	시기프레도 이스메어	Sigifredo Ismare
11069	카렌 린 고니	Karen Lynn Gorney
11070	조시프 카일	Joseph Cail
11071	폴 파페	Paul Pape
11072	브루스 온스타인	Bruce Ornstein
11075	배리 펄	Barry Pearl
11080	프레디 존스	Freddie Jones
11082	워렌 클라크	Warren Clarke
11083	클라우스 로위치	Klaus Lowitsch
11086	타미 스토로나흐	Tami Stronach
11087	모세스 건	Moses Gunn
11088	패트리샤 하에스	Patricia Hayes
11092	조 스테워드슨	Joe Stewardson
11093	리처드 로링	Richard Loring
11094	마리 더 토이	Marie Du Toit
11095	토니 제이	Tony Jay
11096	매들린 어셔	Madeleine Usher
11097	존 히긴스	John Higgins
11098	켄 리치	Ken Leach
11099	다이안 리들러	Diane Ridler
11100	로이 서전트	Roy Sargent
11101	애니 파츠	Annie Potts
11102	커트 풀러	Kurt Fuller
11105	데이비드 마굴리스	David Margulies
11107	로버트 월	Robert Wuhl
11113	피에르 바로우	Pierre Barouh
11114	발레리 라그레인지	Valerie Lagrange
11117	끌로드 를르슈	Claude Lelouch
11122	윕 허블리	Whip Hubley
11123	에디 알버트	Eddie Albert
11124	하틀리 파워	Hartley Power
11125	하코트 윌리암스	Harcourt Williams
11126	마가렛 로우링스	Margaret Rawlings
11129	페기 우드	Peggy Wood
11133	시옵한 맥케나	Siobhan McKenna
11134	리사 블런트	Lisa Blount
11135	도널드 오코너	Donald O'Connor
11136	데비 레이놀즈	Debbie Reynolds
11137	진 헤이근	Jean Hagen
11138	밀러드 미첼	Millard Mitchell
11139	시드 카리스	Cyd Charisse
11141	마이클 커티즈	Michael Curtiz
11143	말릭 브로웬즈	Malick Bowens
11144	수잔나 해밀턴	Suzanna Hamilton
11145	레이첼 켐슨	Rachel Kempson
11146	그레이엄 크로우덴	Graham Crowden
11148	로나 러프트	Lorna Luft
11149	모린 티피	Maureen Teefy
11150	알리슨 프라이스	Alison Price
11151	켄 핀클먼	Ken Finkleman
11152	패트리샤 버치	Patricia Birch
11153	안정국	
11154	진혜루	Wai Lau Chen
11155	진승영	
11156	장미군	
11157	주보의	
11158	이자웅	Li Zixiong
11159	석천	
11160	증강	Kenneth Tsang
11161	엘리자베스 베리지	Elizabeth Berridge
11162	크리스틴 에버솔	Christine Ebersole
11163	찰스 케이	Charles Kay
11171	정유령	
11172	이케다 쇼코	Shoko Ikeda
11173	에바 코보	Eva Cobo
11175	클로드 브라소	Claude Brasseur
11176	데니즈 그레이	Denise Grey
11179	클로드 피노토	Claude Pinoteau
11180	피에르 코소	Pierre Cosso
11181	셰일라 오코너	Sheila O’Connor
11183	엘리자베스 비탈리	Elisabeth Vitali
11184	장 클로드 레궈이	Jean-Claude Leguay
11185	엘레나 폼페이	Elena Pompei
11186	로베르토 아티아스	Roberto Attias
11187	브리짓 커머랜드	Brigitte Chamarande
11188	크리스티안 페레이라	Christian Pereira
11189	자크 뒤트롱	Jacques Dutronc
11190	미리암 메지에르	Myriam Mezieres
11191	로레 킬링	Laure Killing
11192	프랑수아 쇼메트	Francois Chaumette
11193	사디 레보트	Sady Rebbot
11196	마갈리 노엘	Magali Noel
11204	로빈 리커	Robin Riker
11205	마이클 가조	Michael Gazzo
11206	딘 자거	Dean Jagger
11208	잭 카터	Jack Carter
11210	존 헤스	Jon Hess
11213	우디 브라운	Woody Brown
11214	홀리 가그니어	Holly Gagnier
11215	빌 데일리	Bill Dailey
11216	스테픈 자커리아스	Steffen Zacharias
11217	댄 스터키	Dan Sturkie
11218	기셀라 한	Gisela Hahn
11219	엘레나 페데몬트	Elena Pedemonte
11220	엔조 바르보니	Enzo Barboni
11222	로버트 하이즈	Robert Hays
11223	카림 압둘 자바	Kareem Abdul-Jabbar
